餐厅名,种类,地址,评分,人均,链接
赖胖子肉蟹煲（大信新都汇店）,火锅,斗门区中兴中路328号大信新都汇5F,3.7,15,https://www.meituan.com/meishi/182673180/
温度烤肉专门店,火锅,香洲区华平路原老磨坊,5,88,https://www.meituan.com/meishi/164587976/
愚味老北京涮羊肉,火锅,金湾区斗门区白藤二路3号,3.5,16,https://www.meituan.com/meishi/164704673/
涮嗨了牛肉火锅烤肉,火锅,金湾区金岛路山海一品花园562号商铺,3.4,95,https://www.meituan.com/meishi/183963834/
蓝波斯菊.鲜汤火锅（拱北店）,火锅,香洲区拱北侨光西路169号首层107、108号,4.6,56,https://www.meituan.com/meishi/165338516/
串掌门砂锅串串香（夏湾店）,火锅,香洲区华平路15号（国寿大厦巴士站）,3.8,61,https://www.meituan.com/meishi/168797373/
鱼雅山房,火锅,香洲区华海路68号,4.8,31,https://www.meituan.com/meishi/184600217/
沸騰三国成都火鍋（拱北店）,火锅,香洲区侨光西路169号（棕泉酒店对面）,5,59,https://www.meituan.com/meishi/169184796/
宝岛都捞海鲜火锅（大信新都汇店）,火锅,斗门区中兴中路328号大信新都汇5F（五楼靠近滑冰场观景位）,5,72,https://www.meituan.com/meishi/184601098/
麻辣坊,火锅,斗门区斗门镇大道南120号15铺,4.2,61,https://www.meituan.com/meishi/169501989/
子非鱼,火锅,斗门区江湾一路86号,5,58,https://www.meituan.com/meishi/170595643/
清远鸡煲猪肚鸡纸上烤鱼火焰醉鹅（红旗店）,火锅,金湾区南翔路86-88号（柠檬印象楼下商铺，创宏广场对面）,3.1,44,https://www.meituan.com/meishi/171817101/
鲤景冰室（烤涮一锅）,火锅,香洲区柠溪路271号1号铺,5,54,https://www.meituan.com/meishi/185121258/
撸馆串串锅料理,火锅,香洲区旅游路奥园广场L2-36,4,75,https://www.meituan.com/meishi/177539204/
清远鸡煲猪肚鸡纸上烤鱼火焰醉鹅（井岸店）,火锅,斗门区斗门区江湾中路308号,3.8,56,https://www.meituan.com/meishi/185589120/
串掌门砂锅串串香（金鼎店）,火锅,香洲区金鼎山建一街38号（下栅综合楼底商）,3.9,88,https://www.meituan.com/meishi/177755965/
老方的爱·牛肉饭店,火锅,香洲区柠溪路318号,5,15,https://www.meituan.com/meishi/179498084/
口口香海鲜砂锅粥,火锅,金湾区红旗镇广安路金银花园C座底层9-13轴商铺之11号,4.8,95,https://www.meituan.com/meishi/179760409/
汕头八合里海记牛肉火锅店（华发商都店）,火锅,香洲区珠海大道8号华发商都B馆2层B2028,4.4,16,https://www.meituan.com/meishi/93962847/
潮之牛黄牛肉火锅铺,火锅,香洲区唐淇路305号-5一屋商铺A3号位（福乐购侧门旁）,3.5,56,https://www.meituan.com/meishi/179953890/
牛B牛杂,火锅,斗门区井岸镇西埔村西埔市场商业街好地坊B12铺位,4.3,61,https://www.meituan.com/meishi/93023721/
蓝波斯菊.鲜汤火锅（珠海百货店）,火锅,香洲区景山路222号珠海百货三楼（中庭左上方）,4.7,31,https://www.meituan.com/meishi/185661243/
蜀一数二重庆火锅,火锅,香洲区明珠南路大前门三楼,3.4,59,https://www.meituan.com/meishi/182093924/
凤王府成都火锅（唐家店）,火锅,香洲区唐淇路1208号（唐家市场公交车站旁）,4.5,72,https://www.meituan.com/meishi/186391829/
宜嘉馨灵芝鸡火锅·椰子鸡,火锅,香洲区沿河东路97号A1,5,58,https://www.meituan.com/meishi/182461331/
福记正宗土黄牛牛杂火锅,火锅,香洲区前山梅花路72号（梅花豪庭大门口）,3.5,61,https://www.meituan.com/meishi/183022298/
王品记猪肚鸡,火锅,香洲区景晖路3号,4.7,44,https://www.meituan.com/meishi/184028701/
梧桐樹厨房,火锅,香洲区莲兴路白莲路184号,3,75,https://www.meituan.com/meishi/187857313/
楚公馆功夫牛牛肉火锅,火锅,斗门区斗门区西堤路2157号,4.7,54,https://www.meituan.com/meishi/184512864/
金柜砂锅粥火锅,火锅,香洲区粤华路526号,3,56,https://www.meituan.com/meishi/188470133/
芝麻串串香重庆火锅（唐家店）,火锅,香洲区龙岗街山房路40号（宝岛眼镜后面）,5,15,https://www.meituan.com/meishi/184779895/
日月星潮州火锅餐厅,火锅,香洲区高新区唐家湾镇金鼎下栅金发路58号,4.3,88,https://www.meituan.com/meishi/185440025/
牛庄●潮味鲜牛肉店（银桦店）,火锅,香洲区银桦路237号（农信大厦巴士站后）,5,16,https://www.meituan.com/meishi/97446435/
渝都重庆特色烤鱼,火锅,香洲区双竹街9号,3.5,95,https://www.meituan.com/meishi/185753671/
百蒸坊·旱蒸牛肉主题餐厅,火锅,金湾区广安路25号,4,56,https://www.meituan.com/meishi/188993322/
108酱麻辣火锅,火锅,金湾区金海岸大道西金列圣公寓2栋1层96,5,61,https://www.meituan.com/meishi/186234862/
新友记驴庄,火锅,香洲区广东珠海香洲区前山新乐街5号,3.5,31,https://www.meituan.com/meishi/188021577/
潮天下潮汕牛肉火锅,火锅,香洲区拱北侨光西路337号,3.9,59,https://www.meituan.com/meishi/189663184/
大掌门秘宗火锅,火锅,香洲区昌盛路376号华发世纪城销售中心首层A101铺（M2酒吧旁边）,3.8,72,https://www.meituan.com/meishi/108498505/
福鑫猪肚鸡,火锅,斗门区斗门区272省道中兴中路2号,4.3,58,https://www.meituan.com/meishi/191296486/
虾骨烧（夏湾店）,火锅,香洲区昌平路119-121号,4.5,61,https://www.meituan.com/meishi/192234355/
虾骨烧（夏湾店）,火锅,香洲区昌平路119-121号,4.5,44,https://www.meituan.com/meishi/192234355/
星语卜卜贝,火锅,香洲区桂花北路155号嗨森里文化广场,3.5,54,https://www.meituan.com/meishi/192663612/
竹签串串香,火锅,香洲区华平路59号铺,5,75,https://www.meituan.com/meishi/192916178/
签王之王牛肉串串火锅（北山里店）,火锅,香洲区北山路,4,56,https://www.meituan.com/meishi/193272579/
蜀八婆香汁焖锅,火锅,横琴新区横琴区宝中路108号,3.5,15,https://www.meituan.com/meishi/193448784/
壹品柠檬鱼（天虹商场店）,火锅,香洲区明珠南路1101号天虹商场5楼P509号,4.7,88,https://www.meituan.com/meishi/118993910/
澳门鲜味王（拱北店）,火锅,香洲区侨光路169号（近宝裕美食街）,3.7,95,https://www.meituan.com/meishi/192740498/
鱼你相约·火山喷泉锅,火锅,香洲区明珠南路1953号二城商业广场4楼,4.5,16,https://www.meituan.com/meishi/193651710/
班花麻辣烫,火锅,香洲区园林路43号（金嘉创客汇一楼）,3.3,56,https://www.meituan.com/meishi/193813318/
老山城怀旧火锅,火锅,香洲区粤海东路1145号,4.3,61,https://www.meituan.com/meishi/193115062/
鸽一坊,火锅,香洲区屏北二路,4.4,31,https://www.meituan.com/meishi/193901445/
海米猪肚鸡,火锅,香洲区屏东六路泰东街78号,4,59,https://www.meituan.com/meishi/194662286/
上品骨汤猪肚鸡,火锅,香洲区明珠南路天虹商场5楼P510,3.5,72,https://www.meituan.com/meishi/194938346/
果条·潮汕牛肉新流派,火锅,香洲区怡华街32号,3.8,61,https://www.meituan.com/meishi/193180388/
洪先生烧烤（三灶店）,火锅,金湾区机场西路伟民路21号首层1号商铺  九龙酒店旁,4.5,58,https://www.meituan.com/meishi/195152143/
重庆尖叫鸡尖椒鱼（新香洲店）,火锅,香洲区怡华街12号,4.2,44,https://www.meituan.com/meishi/195405593/
食鼎记猪肚鸡（南屏店）,火锅,香洲区南湾北路45号南屏商业中心2楼F区088号,5,75,https://www.meituan.com/meishi/528073934/
蓝波斯菊·鲜汤火锅（印象城店）,火锅,香洲区明珠北路338号印象城购物中心三层F306,5,54,https://www.meituan.com/meishi/90388904/
壹品柠檬鱼（红旗店）,火锅,金湾区南翔路创宏商业广场1-2号商铺,3.5,56,https://www.meituan.com/meishi/160205347/
林氏老北京涮羊肉火锅,火锅,香洲区水湾路160号,3.5,15,https://www.meituan.com/meishi/910229725/
金顶鲜餐厅（牛羊排鱼锅大虾）,火锅,金湾区虹阳路208号（万科花园正对面）,5,88,https://www.meituan.com/meishi/1004851497/
串不凡 ·串串小食堂,火锅,香洲区旅游路168号梅溪商业广场b1-130号,3.2,95,https://www.meituan.com/meishi/194313901/
串掌门砂锅串串香（西埔店）,火锅,斗门区西埔村西埔路环山东侧商业广场,3,16,https://www.meituan.com/meishi/1575548146/
佰年蜀壹锅,火锅,香洲区粤华路152号,3,56,https://www.meituan.com/meishi/1835841661/
老李美食,火锅,香洲区夏湾路27号,4.5,61,https://www.meituan.com/meishi/194760256/
澆鷄碳火鸡煲,火锅,斗门区新青一巷37号（孔一凡斜对面）,5,31,https://www.meituan.com/meishi/194852545/
